race,age_group,state,population
Non-Hispanic Asian,75-84 years,North Dakota,120
Non-Hispanic Asian,75-84 years,Ohio,7044
Non-Hispanic Asian,75-84 years,Oklahoma,2015
Non-Hispanic Asian,75-84 years,Oregon,6049
Non-Hispanic Asian,75-84 years,Pennsylvania,12767
Non-Hispanic Asian,75-84 years,Rhode Island,822
Non-Hispanic Asian,75-84 years,South Carolina,2547
Non-Hispanic Asian,75-84 years,South Dakota,142
Non-Hispanic Asian,75-84 years,Tennessee,2984
Non-Hispanic Asian,75-84 years,Texas,38421
Non-Hispanic Asian,75-84 years,United States,673469
Non-Hispanic Asian,75-84 years,Utah,1847
Non-Hispanic Asian,75-84 years,Vermont,221
Non-Hispanic Asian,75-84 years,Virginia,18367
Non-Hispanic Asian,75-84 years,Washington,22002
Non-Hispanic Asian,75-84 years,West Virginia,567
Non-Hispanic Asian,75-84 years,Wisconsin,2907
Non-Hispanic Asian,75-84 years,Wyoming,136
Non-Hispanic Asian,All Ages,Alabama,71388
Non-Hispanic Asian,All Ages,Alaska,47799
Non-Hispanic Asian,All Ages,Arizona,244348
Non-Hispanic Asian,All Ages,Arkansas,48509
Non-Hispanic Asian,All Ages,California,5818319
Non-Hispanic Asian,All Ages,Colorado,187668
Non-Hispanic Asian,All Ages,Connecticut,169570
Non-Hispanic Asian,All Ages,Delaware,38921
Non-Hispanic Asian,All Ages,District of Columbia,30064
Non-Hispanic Asian,All Ages,Florida,607001
Non-Hispanic Asian,All Ages,Georgia,443813
Non-Hispanic Asian,All Ages,Hawaii,517717
Non-Hispanic Asian,All Ages,Idaho,26026
Non-Hispanic Asian,All Ages,Illinois,732320
Non-Hispanic Asian,All Ages,Indiana,161831
Non-Hispanic Asian,All Ages,Iowa,84180
Non-Hispanic Asian,All Ages,Kansas,88851
Non-Hispanic Asian,All Ages,Kentucky,71014
Non-Hispanic Asian,All Ages,Louisiana,81667
Non-Hispanic Asian,All Ages,Maine,16343
Non-Hispanic Asian,All Ages,Maryland,397998
Non-Hispanic Asian,All Ages,Massachusetts,485158
Non-Hispanic Asian,All Ages,Michigan,333280
Non-Hispanic Asian,All Ages,Minnesota,284976
Non-Hispanic Asian,All Ages,Mississippi,31319
Non-Hispanic Asian,All Ages,Missouri,128422
Non-Hispanic Asian,All Ages,Montana,9408
Non-Hispanic Asian,All Ages,Nebraska,50669
Non-Hispanic Asian,All Ages,Nevada,250856
Non-Hispanic Asian,All Ages,New Hampshire,39954
Non-Hispanic Asian,All Ages,New Jersey,873183
Non-Hispanic Asian,All Ages,New Mexico,32311
Non-Hispanic Asian,All Ages,New York,1710183
Non-Hispanic Asian,All Ages,North Carolina,317710
Non-Hispanic Asian,All Ages,North Dakota,13079
Non-Hispanic Asian,All Ages,Ohio,283111
Non-Hispanic Asian,All Ages,Oklahoma,89289
Non-Hispanic Asian,All Ages,Oregon,196426
Non-Hispanic Asian,All Ages,Pennsylvania,463785
Non-Hispanic Asian,All Ages,Rhode Island,36822
Non-Hispanic Asian,All Ages,South Carolina,87197
Non-Hispanic Asian,All Ages,South Dakota,14776
Non-Hispanic Asian,All Ages,Tennessee,124526
Non-Hispanic Asian,All Ages,Texas,1433736
Non-Hispanic Asian,All Ages,United States,18728675
Non-Hispanic Asian,All Ages,Utah,81356
Non-Hispanic Asian,All Ages,Vermont,12423
Non-Hispanic Asian,All Ages,Virginia,578201
Non-Hispanic Asian,All Ages,Washington,687325
Non-Hispanic Asian,All Ages,West Virginia,15014
Non-Hispanic Asian,All Ages,Wisconsin,173071
Non-Hispanic Asian,All Ages,Wyoming,5762
Non-Hispanic Asian,Under 25 years,Alabama,23859
Non-Hispanic Asian,Under 25 years,Alaska,15433
Non-Hispanic Asian,Under 25 years,Arizona,73264
Non-Hispanic Asian,Under 25 years,Arkansas,16516
Non-Hispanic Asian,Under 25 years,California,1521645
Non-Hispanic Asian,Under 25 years,Colorado,57801
Non-Hispanic Asian,Under 25 years,Connecticut,54323
Non-Hispanic Asian,Under 25 years,Delaware,11544
Non-Hispanic Asian,Under 25 years,District of Columbia,7237
Non-Hispanic Asian,Under 25 years,Florida,167214
Non-Hispanic Asian,Under 25 years,Georgia,140554
Non-Hispanic Asian,Under 25 years,Hawaii,102611
Non-Hispanic Asian,Under 25 years,Idaho,8257
Non-Hispanic Asian,Under 25 years,Illinois,218740
Non-Hispanic Asian,Under 25 years,Indiana,64762
Non-Hispanic Asian,Under 25 years,Iowa,34274
Non-Hispanic Asian,Under 25 years,Kansas,32230
Non-Hispanic Asian,Under 25 years,Kentucky,25773
Non-Hispanic Asian,Under 25 years,Louisiana,26095
Non-Hispanic Asian,Under 25 years,Maine,5341
Non-Hispanic Asian,Under 25 years,Maryland,114813
Non-Hispanic Asian,Under 25 years,Massachusetts,157409
Non-Hispanic Asian,Under 25 years,Michigan,116820
Non-Hispanic Asian,Under 25 years,Minnesota,111790
Non-Hispanic Asian,Under 25 years,Mississippi,10086
Non-Hispanic Asian,Under 25 years,Missouri,44518
Non-Hispanic Asian,Under 25 years,Montana,3500
Non-Hispanic Asian,Under 25 years,Nebraska,19896
Non-Hispanic Asian,Under 25 years,Nevada,56965
Non-Hispanic Asian,Under 25 years,New Hampshire,13373
Non-Hispanic Asian,Under 25 years,New Jersey,256251
Non-Hispanic Asian,Under 25 years,New Mexico,8474
Non-Hispanic Asian,Under 25 years,New York,486049
Non-Hispanic Asian,Under 25 years,North Carolina,105927
Non-Hispanic Asian,Under 25 years,North Dakota,5177
Non-Hispanic Asian,Under 25 years,Ohio,94981
Non-Hispanic Asian,Under 25 years,Oklahoma,31292
Non-Hispanic Asian,Under 25 years,Oregon,58473
Non-Hispanic Asian,Under 25 years,Pennsylvania,153703
Non-Hispanic Asian,Under 25 years,Rhode Island,12743
Non-Hispanic Asian,Under 25 years,South Carolina,28409
Non-Hispanic Asian,Under 25 years,South Dakota,6070
Non-Hispanic Asian,Under 25 years,Tennessee,40039
Non-Hispanic Asian,Under 25 years,Texas,445777
Non-Hispanic Asian,Under 25 years,United States,5468643
Non-Hispanic Asian,Under 25 years,Utah,28049
Non-Hispanic Asian,Under 25 years,Vermont,5174
Non-Hispanic Asian,Under 25 years,Virginia,175053
Non-Hispanic Asian,Under 25 years,Washington,192728
Non-Hispanic Asian,Under 25 years,West Virginia,4626
Non-Hispanic Asian,Under 25 years,Wisconsin,71085
Non-Hispanic Asian,Under 25 years,Wyoming,1920
Non-Hispanic Black, 85 years and over,Alabama,16220
Non-Hispanic Black, 85 years and over,Alaska,135
Non-Hispanic Black, 85 years and over,Arizona,2520
Non-Hispanic Black, 85 years and over,Arkansas,5514
Non-Hispanic Black, 85 years and over,California,32916
Non-Hispanic Black, 85 years and over,Colorado,2060
Non-Hispanic Black, 85 years and over,Connecticut,4449
Non-Hispanic Black, 85 years and over,Delaware,2438
Non-Hispanic Black, 85 years and over,District of Columbia,7276
Non-Hispanic Black, 85 years and over,Florida,38024
Non-Hispanic Black, 85 years and over,Georgia,29525
Non-Hispanic Black, 85 years and over,Hawaii,142
Non-Hispanic Black, 85 years and over,Idaho,41
Non-Hispanic Black, 85 years and over,Illinois,26115
Non-Hispanic Black, 85 years and over,Indiana,7070
Non-Hispanic Black, 85 years and over,Iowa,597
Non-Hispanic Black, 85 years and over,Kansas,1823
Non-Hispanic Black, 85 years and over,Kentucky,4096
Non-Hispanic Black, 85 years and over,Louisiana,17186
Non-Hispanic Black, 85 years and over,Maine,87
Non-Hispanic Black, 85 years and over,Maryland,23041
Non-Hispanic Black, 85 years and over,Massachusetts,5679
Non-Hispanic Black, 85 years and over,Michigan,20697
Non-Hispanic Black, 85 years and over,Minnesota,1575
Non-Hispanic Black, 85 years and over,Mississippi,12494
Non-Hispanic Black, 85 years and over,Missouri,8986
Non-Hispanic Black, 85 years and over,Montana,19
Non-Hispanic Black, 85 years and over,Nebraska,704
Non-Hispanic Black, 85 years and over,Nevada,2442
Non-Hispanic Black, 85 years and over,New Hampshire,91
Non-Hispanic Black, 85 years and over,New Jersey,16110
Non-Hispanic Black, 85 years and over,New Mexico,511
Non-Hispanic Black, 85 years and over,New York,47818
Non-Hispanic Black, 85 years and over,North Carolina,28034
Non-Hispanic Black, 85 years and over,North Dakota,19
Non-Hispanic Black, 85 years and over,Ohio,21265
Non-Hispanic Black, 85 years and over,Oklahoma,2892
Non-Hispanic Black, 85 years and over,Oregon,643
Non-Hispanic Black, 85 years and over,Pennsylvania,20617
Non-Hispanic Black, 85 years and over,Rhode Island,772
Non-Hispanic Black, 85 years and over,South Carolina,17055
Non-Hispanic Black, 85 years and over,South Dakota,32
Non-Hispanic Black, 85 years and over,Tennessee,11785
Non-Hispanic Black, 85 years and over,Texas,30935
Non-Hispanic Black, 85 years and over,United States,500005
Non-Hispanic Black, 85 years and over,Utah,136
Non-Hispanic Black, 85 years and over,Vermont,50
Non-Hispanic Black, 85 years and over,Virginia,21622
Non-Hispanic Black, 85 years and over,Washington,2113
Non-Hispanic Black, 85 years and over,West Virginia,847
Non-Hispanic Black, 85 years and over,Wisconsin,2726
Non-Hispanic Black, 85 years and over,Wyoming,61
Non-Hispanic Black,25-34 years,Alabama,192646
Non-Hispanic Black,25-34 years,Alaska,4781
Non-Hispanic Black,25-34 years,Arizona,53771
Non-Hispanic Black,25-34 years,Arkansas,68909
Non-Hispanic Black,25-34 years,California,367008
Non-Hispanic Black,25-34 years,Colorado,41379
Non-Hispanic Black,25-34 years,Connecticut,56886
Non-Hispanic Black,25-34 years,Delaware,30389
Non-Hispanic Black,25-34 years,District of Columbia,52444
Non-Hispanic Black,25-34 years,Florida,525264
Non-Hispanic Black,25-34 years,Georgia,509122
Non-Hispanic Black,25-34 years,Hawaii,7005
Non-Hispanic Black,25-34 years,Idaho,2396
Non-Hispanic Black,25-34 years,Illinois,271736
Non-Hispanic Black,25-34 years,Indiana,98855
Non-Hispanic Black,25-34 years,Iowa,21337
Non-Hispanic Black,25-34 years,Kansas,26871
Non-Hispanic Black,25-34 years,Kentucky,54762
Non-Hispanic Black,25-34 years,Louisiana,230887
Non-Hispanic Black,25-34 years,Maine,3277
Non-Hispanic Black,25-34 years,Maryland,267283
Non-Hispanic Black,25-34 years,Massachusetts,83206
Non-Hispanic Black,25-34 years,Michigan,208619
Non-Hispanic Black,25-34 years,Minnesota,64455
Non-Hispanic Black,25-34 years,Mississippi,161796
Non-Hispanic Black,25-34 years,Missouri,111243
Non-Hispanic Black,25-34 years,Montana,1224
Non-Hispanic Black,25-34 years,Nebraska,15278
Non-Hispanic Black,25-34 years,Nevada,47820
Non-Hispanic Black,25-34 years,New Hampshire,3342
Non-Hispanic Black,25-34 years,New Jersey,170236
Non-Hispanic Black,25-34 years,New Mexico,6449
Non-Hispanic Black,25-34 years,New York,450367
Non-Hispanic Black,25-34 years,North Carolina,326645
Non-Hispanic Black,25-34 years,North Dakota,6835
Non-Hispanic Black,25-34 years,Ohio,225403
Non-Hispanic Black,25-34 years,Oklahoma,46992
Non-Hispanic Black,25-34 years,Oregon,14531
Non-Hispanic Black,25-34 years,Pennsylvania,223637
Non-Hispanic Black,25-34 years,Rhode Island,10769
Non-Hispanic Black,25-34 years,South Carolina,196586
Non-Hispanic Black,25-34 years,South Dakota,4615
Non-Hispanic Black,25-34 years,Tennessee,179364
Non-Hispanic Black,25-34 years,Texas,563833
Non-Hispanic Black,25-34 years,United States,6392622
Non-Hispanic Black,25-34 years,Utah,7150
Non-Hispanic Black,25-34 years,Vermont,1330
Non-Hispanic Black,25-34 years,Virginia,247358
Non-Hispanic Black,25-34 years,Washington,54279
Non-Hispanic Black,25-34 years,West Virginia,9875
Non-Hispanic Black,25-34 years,Wisconsin,61129
Non-Hispanic Black,25-34 years,Wyoming,1248
Non-Hispanic Black,35-44 years,Alabama,163418
Non-Hispanic Black,35-44 years,Alaska,3469
Non-Hispanic Black,35-44 years,Arizona,43678
Non-Hispanic Black,35-44 years,Arkansas,58239
Non-Hispanic Black,35-44 years,California,286130
Non-Hispanic Black,35-44 years,Colorado,32782
Non-Hispanic Black,35-44 years,Connecticut,47933
Non-Hispanic Black,35-44 years,Delaware,25725
Non-Hispanic Black,35-44 years,District of Columbia,37699
Non-Hispanic Black,35-44 years,Florida,430437
Non-Hispanic Black,35-44 years,Georgia,446673
Non-Hispanic Black,35-44 years,Hawaii,4434
Non-Hispanic Black,35-44 years,Idaho,1745
Non-Hispanic Black,35-44 years,Illinois,219858
Non-Hispanic Black,35-44 years,Indiana,81091
Non-Hispanic Black,35-44 years,Iowa,15730
Non-Hispanic Black,35-44 years,Kansas,21318
Non-Hispanic Black,35-44 years,Kentucky,45711
Non-Hispanic Black,35-44 years,Louisiana,185170
Non-Hispanic Black,35-44 years,Maine,2659
Non-Hispanic Black,35-44 years,Maryland,235085
Non-Hispanic Black,35-44 years,Massachusetts,67569
Non-Hispanic Black,35-44 years,Michigan,161588
Non-Hispanic Black,35-44 years,Minnesota,51344
Non-Hispanic Black,35-44 years,Mississippi,142044
Non-Hispanic Black,35-44 years,Missouri,87231
Non-Hispanic Black,35-44 years,Montana,801
Non-Hispanic Black,35-44 years,Nebraska,12363
Non-Hispanic Black,35-44 years,Nevada,37535
Non-Hispanic Black,35-44 years,New Hampshire,2665
Non-Hispanic Black,35-44 years,New Jersey,150299
Non-Hispanic Black,35-44 years,New Mexico,5041
Non-Hispanic Black,35-44 years,New York,357872
Non-Hispanic Black,35-44 years,North Carolina,278865
Non-Hispanic Black,35-44 years,North Dakota,3457
Non-Hispanic Black,35-44 years,Ohio,175716
Non-Hispanic Black,35-44 years,Oklahoma,37199
Non-Hispanic Black,35-44 years,Oregon,12011
Non-Hispanic Black,35-44 years,Pennsylvania,166689
Non-Hispanic Black,35-44 years,Rhode Island,8524
Non-Hispanic Black,35-44 years,South Carolina,164811
Non-Hispanic Black,35-44 years,South Dakota,2969
Non-Hispanic Black,35-44 years,Tennessee,143681
Non-Hispanic Black,35-44 years,Texas,485499
Non-Hispanic Black,35-44 years,United States,5257441
Non-Hispanic Black,35-44 years,Utah,4740
Non-Hispanic Black,35-44 years,Vermont,995
Non-Hispanic Black,35-44 years,Virginia,208458
Non-Hispanic Black,35-44 years,Washington,43600
Non-Hispanic Black,35-44 years,West Virginia,8130
Non-Hispanic Black,35-44 years,Wisconsin,45858
Non-Hispanic Black,35-44 years,Wyoming,903
Non-Hispanic Black,45-54 years,Alabama,157709
Non-Hispanic Black,45-54 years,Alaska,2817
Non-Hispanic Black,45-54 years,Arizona,38302
Non-Hispanic Black,45-54 years,Arkansas,52920
Non-Hispanic Black,45-54 years,California,300022
Non-Hispanic Black,45-54 years,Colorado,29095
Non-Hispanic Black,45-54 years,Connecticut,50762
Non-Hispanic Black,45-54 years,Delaware,28329
Non-Hispanic Black,45-54 years,District of Columbia,36795
Non-Hispanic Black,45-54 years,Florida,405216
Non-Hispanic Black,45-54 years,Georgia,438051
Non-Hispanic Black,45-54 years,Hawaii,2899
Non-Hispanic Black,45-54 years,Idaho,1264
Non-Hispanic Black,45-54 years,Illinois,224958
Non-Hispanic Black,45-54 years,Indiana,74633
Non-Hispanic Black,45-54 years,Iowa,11613
Non-Hispanic Black,45-54 years,Kansas,18812
Non-Hispanic Black,45-54 years,Kentucky,43351
Non-Hispanic Black,45-54 years,Louisiana,169863
Non-Hispanic Black,45-54 years,Maine,2156
Non-Hispanic Black,45-54 years,Maryland,254509
Non-Hispanic Black,45-54 years,Massachusetts,64564
Non-Hispanic Black,45-54 years,Michigan,175081
Non-Hispanic Black,45-54 years,Minnesota,38807
Non-Hispanic Black,45-54 years,Mississippi,132756
Non-Hispanic Black,45-54 years,Missouri,84743
Non-Hispanic Black,45-54 years,Montana,476
Non-Hispanic Black,45-54 years,Nebraska,10016
Non-Hispanic Black,45-54 years,Nevada,34666
Non-Hispanic Black,45-54 years,New Hampshire,2599
Non-Hispanic Black,45-54 years,New Jersey,163479
Non-Hispanic Black,45-54 years,New Mexico,4603
Non-Hispanic Black,45-54 years,New York,379812
Non-Hispanic Black,45-54 years,North Carolina,291597
Non-Hispanic Black,45-54 years,North Dakota,1912
Non-Hispanic Black,45-54 years,Ohio,174333
Non-Hispanic Black,45-54 years,Oklahoma,33335
Non-Hispanic Black,45-54 years,Oregon,9591
Non-Hispanic Black,45-54 years,Pennsylvania,170857
Non-Hispanic Black,45-54 years,Rhode Island,7904
Non-Hispanic Black,45-54 years,South Carolina,167273
Non-Hispanic Black,45-54 years,South Dakota,1687
Non-Hispanic Black,45-54 years,Tennessee,140524
Non-Hispanic Black,45-54 years,Texas,440263
Non-Hispanic Black,45-54 years,United States,5181135
Non-Hispanic Black,45-54 years,Utah,3536
Non-Hispanic Black,45-54 years,Vermont,928
Non-Hispanic Black,45-54 years,Virginia,214278
Non-Hispanic Black,45-54 years,Washington,37213
Non-Hispanic Black,45-54 years,West Virginia,7534
Non-Hispanic Black,45-54 years,Wisconsin,42073
Non-Hispanic Black,45-54 years,Wyoming,619
Non-Hispanic Black,55-64 years,Alabama,162394
Non-Hispanic Black,55-64 years,Alaska,2632
Non-Hispanic Black,55-64 years,Arizona,33232
Non-Hispanic Black,55-64 years,Arkansas,55032
Non-Hispanic Black,55-64 years,California,297696
Non-Hispanic Black,55-64 years,Colorado,25572
Non-Hispanic Black,55-64 years,Connecticut,43476
Non-Hispanic Black,55-64 years,Delaware,26642
Non-Hispanic Black,55-64 years,District of Columbia,41236
Non-Hispanic Black,55-64 years,Florida,374388
Non-Hispanic Black,55-64 years,Georgia,379257
Non-Hispanic Black,55-64 years,Hawaii,2205
Non-Hispanic Black,55-64 years,Idaho,1023
Non-Hispanic Black,55-64 years,Illinois,220718
Non-Hispanic Black,55-64 years,Indiana,69900
Non-Hispanic Black,55-64 years,Iowa,8869
Non-Hispanic Black,55-64 years,Kansas,19183
Non-Hispanic Black,55-64 years,Kentucky,43694
Non-Hispanic Black,55-64 years,Louisiana,178242
Non-Hispanic Black,55-64 years,Maine,1271
Non-Hispanic Black,55-64 years,Maryland,234092
Non-Hispanic Black,55-64 years,Massachusetts,56326
Non-Hispanic Black,55-64 years,Michigan,163384
Non-Hispanic Black,55-64 years,Minnesota,27552
Non-Hispanic Black,55-64 years,Mississippi,133516
Non-Hispanic Black,55-64 years,Missouri,83553
Non-Hispanic Black,55-64 years,Montana,390
Non-Hispanic Black,55-64 years,Nebraska,8974
Non-Hispanic Black,55-64 years,Nevada,29669
Non-Hispanic Black,55-64 years,New Hampshire,1772
Non-Hispanic Black,55-64 years,New Jersey,145227
Non-Hispanic Black,55-64 years,New Mexico,5097
Non-Hispanic Black,55-64 years,New York,364597
Non-Hispanic Black,55-64 years,North Carolina,278448
Non-Hispanic Black,55-64 years,North Dakota,1199
Non-Hispanic Black,55-64 years,Ohio,174898
